year,date_iso,legacy_registration_key,category_code,old_current_category_name,restored_category_name
2014,2014-07-07,Conti14:34olydat.aco:437,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2014,2014-07-25,Conti14:34olydat.aco:445,18,-ROMA.TELEFONO,-TF.ROMA
2014,2014-07-15,Conti14:34olydat.aco:450,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-07-15,Conti14:34olydat.aco:456,43,-VESTITI.ML,-VEST.ML
2014,2014-08-11,Conti14:34olydat.aco:461,16,-ROMA.LUCE,-LUCE.ROMA
2014,2014-08-12,Conti14:34olydat.aco:462,17,-ROMA.GAS,-GAS.ROMA
2014,2014-08-18,Conti14:34olydat.aco:501,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2014,2014-08-18,Conti14:34olydat.aco:503,43,-VESTITI.ML,-VEST.ML
2014,2014-08-18,Conti14:34olydat.aco:504,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-08-14,Conti14:34olydat.aco:506,26,-FONDI.ACQUA,-ACQUA.FONDI
2014,2014-09-15,Conti14:34olydat.aco:568,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2014,2014-09-24,Conti14:34olydat.aco:577,24,-FONDI.LUCE,-LUCE.FONDI
2014,2014-09-25,Conti14:34olydat.aco:580,18,-ROMA.TELEFONO,-TF.ROMA
2014,2014-09-22,Conti14:34olydat.aco:584,14,-ROMA.CASA,-CASA.ROMA
2014,2014-09-18,Conti14:34olydat.aco:589,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2014,2014-10-16,Conti14:34olydat.aco:595,16,-ROMA.LUCE,-LUCE.ROMA
2014,2014-10-13,Conti14:34olydat.aco:596,17,-ROMA.GAS,-GAS.ROMA
2014,2014-10-03,Conti14:34olydat.aco:620,43,-VESTITI.ML,-VEST.ML
2014,2014-10-15,Conti14:34olydat.aco:630,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-10-27,Conti14:34olydat.aco:637,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-10-27,Conti14:34olydat.aco:638,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-10-27,Conti14:34olydat.aco:639,43,-VESTITI.ML,-VEST.ML
2014,2014-10-24,Conti14:34olydat.aco:648,22,-FONDI.CASA,-CASA.FONDI
2014,2014-10-28,Conti14:34olydat.aco:659,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2014,2014-11-14,Conti14:34olydat.aco:660,26,-FONDI.ACQUA,-ACQUA.FONDI
2014,2014-11-10,Conti14:34olydat.aco:671,14,-ROMA.CASA,-CASA.ROMA
2014,2014-11-17,Conti14:34olydat.aco:677,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-11-25,Conti14:34olydat.aco:685,18,-ROMA.TELEFONO,-TF.ROMA
2014,2014-11-17,Conti14:34olydat.aco:692,25,-FONDI.GAS,-GAS.FONDI
2014,2014-11-25,Conti14:34olydat.aco:698,43,-VESTITI.ML,-VEST.ML
2014,2014-12-17,Conti14:34olydat.aco:720,16,-ROMA.LUCE,-LUCE.ROMA
2014,2014-12-15,Conti14:34olydat.aco:727,17,-ROMA.GAS,-GAS.ROMA
2014,2014-12-22,Conti14:34olydat.aco:763,24,-FONDI.LUCE,-LUCE.FONDI
2014,2014-12-15,Conti14:34olydat.aco:767,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2014,2014-12-19,Conti14:34olydat.aco:803,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2015,2015-01-02,Conti15:34okydat.aco:21,22,-FONDI.CASA,-CASA.FONDI
2015,2015-01-25,Conti15:34okydat.aco:26,18,-ROMA.TELEFONO,-TF.ROMA
2015,2015-01-08,Conti15:34okydat.aco:41,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2015,2015-01-14,Conti15:34okydat.aco:48,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2015,2015-02-16,Conti15:34okydat.aco:61,17,-ROMA.GAS,-GAS.ROMA
2015,2015-01-22,Conti15:34okydat.aco:68,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2015,2015-02-19,Conti15:34okydat.aco:73,16,-ROMA.LUCE,-LUCE.ROMA
2015,2015-02-04,Conti15:34okydat.aco:81,42,-VESTITI.ANDREA,-VEST.ANDREA
2015,2015-02-04,Conti15:34okydat.aco:83,43,-VESTITI.ML,-VEST.ML
2015,2015-02-04,Conti15:34okydat.aco:84,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2015,2015-02-13,Conti15:34okydat.aco:96,26,-FONDI.ACQUA,-ACQUA.FONDI
2015,2015-02-06,Conti15:34okydat.aco:97,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2015,2015-02-05,Conti15:34okydat.aco:98,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2015,2015-03-16,Conti15:34okydat.aco:168,22,-FONDI.CASA,-CASA.FONDI
2015,2015-03-16,Conti15:34okydat.aco:169,22,-FONDI.CASA,-CASA.FONDI
2015,2015-03-16,Conti15:34okydat.aco:175,42,-VESTITI.ANDREA,-VEST.ANDREA
2015,2015-03-16,Conti15:34okydat.aco:178,22,-FONDI.CASA,-CASA.FONDI
2015,2015-03-25,Conti15:34okydat.aco:183,18,-ROMA.TELEFONO,-TF.ROMA
2015,2015-03-23,Conti15:34okydat.aco:186,24,-FONDI.LUCE,-LUCE.FONDI
